Sylwia | 24.06.2021 16:47:42 | 35 | 10 | LISBON
Bartek | 24.06.2021 16:51:28 | 33 | 8 | MALE
Bartek | 24.06.2021 16:51:28 | 32 | 2 | MALE
Bartek | 24.06.2021 16:51:28 | 8 | 44 | MALE
Sylwia | 24.06.2021 16:47:42 | 35 | 10 | LISBON
Bartek | 24.06.2021 16:51:28 | 33 | 8 | MALE
Bartek | 24.06.2021 16:51:28 | 33 | 2 | MALE
Bartek | 24.06.2021 16:51:28 | 3 | 44 | MALE
Sylwia | 24.06.2021 16:47:42 | 35 | 10 | LISBON
Bartek | 24.06.2021 16:51:28 | 7 | 8 | MALE
Bartek | 24.06.2021 16:51:28 | 33 | 2 | MALE
Bartek | 24.06.2021 16:51:28 | 1 | 44 | MALE
Sylwia | 24.06.2021 16:47:42 | 35 | 10 | LISBON
Bartek | 24.06.2021 16:51:28 | 199 | 8 | MALE
Bartek | 24.06.2021 16:51:28 | 33 | 2 | MALE
Bartek | 24.06.2021 16:51:28 | 33 | 44 | MALE
